,Price
2003-09-01,12.641771835167233
2003-10-01,12.606407741705858
2003-11-01,12.649502046373307
2003-12-01,12.618681561887204
2004-01-01,12.6700623102645
2004-02-01,12.655981899993767
2004-03-01,12.576509385491256
2004-04-01,12.626391275380742
2004-05-01,12.579903765785755
2004-06-01,12.705414254055846
2004-07-01,12.75085075492496
2004-08-01,12.79826717209526
2004-09-01,12.816374755306624
2004-10-01,12.8216265968364
2004-11-01,12.640690777286048
2004-12-01,12.748464421836294
2005-01-01,12.693351461216569
2005-02-01,12.779852409807031
2005-03-01,12.73877156537339
2005-04-01,12.737321451960819
2005-05-01,12.729386265355016
2005-06-01,12.656306646146268
2005-07-01,12.652569922271123
2005-08-01,12.700677616378869
2005-09-01,12.677543355131837
2005-10-01,12.586416687680357
2005-11-01,12.550559443199251
2005-12-01,12.580544828472949
2006-01-01,12.682320995002142
2006-02-01,12.759196511543918
2006-03-01,12.792188803146992
2006-04-01,12.722541099233938
2006-05-01,12.805092256639213
2006-06-01,12.817029116190103
2006-07-01,12.80783057741482
2006-08-01,12.890639422527364
2006-09-01,12.950067002594507
2006-10-01,13.000036446103733
2006-11-01,12.917912906481698
2006-12-01,12.879071594430727
2007-01-01,12.752760761829125
2007-02-01,12.7783157520531
2007-03-01,12.79057505193139
2007-04-01,12.875179892436748
2007-05-01,12.902143357938321
2007-06-01,12.882707792454223
2007-07-01,13.061626864804083
2007-08-01,12.989260985265268
2007-09-01,12.892358560527544
2007-10-01,12.853513171904261
2007-11-01,12.905488712902123
2007-12-01,12.88754406285823
2008-01-01,12.862284985846353
2008-02-01,12.782581977774525
2008-03-01,12.910409556152144
2008-04-01,12.870539777150038
2008-05-01,12.794083620970337
2008-06-01,12.794281213554807
2008-07-01,12.73966176591073
2008-08-01,12.7310572680055
2008-09-01,12.847869294935572
2008-10-01,12.822152756800172
2008-11-01,12.828169662055247
2008-12-01,12.80868607972878
2009-01-01,12.803346914252643
2009-02-01,12.878921307858741
2009-03-01,12.931452005802221
2009-04-01,12.914122802930324
2009-05-01,12.849650764488178
2009-06-01,12.8489134049457
2009-07-01,12.925520893987645
2009-08-01,12.93413263247148
2009-09-01,12.933919974715193
2009-10-01,12.799286644777913
2009-11-01,12.888804162927649
2009-12-01,12.779513854222188
2010-01-01,12.686945255817236
2010-02-01,12.66688866303476
2010-03-01,12.679660173096183
2010-04-01,12.693266425742891
2010-05-01,12.642166674315183
2010-06-01,12.627115593739452
2010-07-01,12.588556430893354
2010-08-01,12.453792332587458
2010-09-01,12.443350913205775
2010-10-01,12.39784696546043
2010-11-01,12.441382786071642
2010-12-01,12.439766771146678
2011-01-01,12.526870875137245
2011-02-01,12.59256863419538
2011-03-01,12.674521071185453
2011-04-01,12.781191317037608
2011-05-01,12.846651613382596
2011-06-01,12.843342764473398
2011-07-01,12.961591813313957
2011-08-01,12.897301692272586
2011-09-01,12.904463893316894
2011-10-01,12.983235569457918
2011-11-01,12.970235840689341
2011-12-01,13.037431836388336
2012-01-01,12.98315562832312
2012-02-01,12.949917071683862
2012-03-01,13.003611265793333
2012-04-01,13.070562406634826
2012-05-01,13.17633476585739
2012-06-01,13.180729403853176
2012-07-01,13.214587573591277
2012-08-01,13.27468298217379
2012-09-01,13.322077546835331
2012-10-01,13.227867832295347
2012-11-01,13.192260660319347
2012-12-01,13.317696661127089
2013-01-01,13.228177050389336
2013-02-01,13.28848747690621
2013-03-01,13.264440106804816
2013-04-01,13.354696871590262
2013-05-01,13.302442662894771
2013-06-01,13.316358233303788
2013-07-01,13.164246082223903
2013-08-01,13.170891174213804
2013-09-01,13.266854596561048
2013-10-01,13.15678584453872
2013-11-01,13.261645399296459
2013-12-01,13.214438899938223
2014-01-01,13.220339817932148
2014-02-01,13.008373149070477
2014-03-01,13.10466339957071
2014-04-01,13.044608526216765
2014-05-01,13.01155978068115
2014-06-01,12.919302524760347
2014-07-01,12.849880969068009
2014-08-01,12.951355200078776
2014-09-01,12.920629392202038
2014-10-01,13.002229467305238
2014-11-01,12.9981331980109
2014-12-01,13.035819875495351
2015-01-01,13.005315065152251
2015-02-01,13.049488186749363
2015-03-01,13.26657375360064
2015-04-01,13.328805194782836
2015-05-01,13.379272378134457
2015-06-01,13.35119631168275
2015-07-01,13.442069010855526
2015-08-01,13.560805088526926
2015-09-01,13.434637891198047
2015-10-01,13.334211312815372
2015-11-01,13.512353447472153
2015-12-01,13.55642538087491
2016-01-01,13.576761399197302
2016-02-01,13.631798400253349
2016-03-01,13.729539578201697
2016-04-01,13.803605086261937
2016-05-01,13.795758424919164
2016-06-01,13.970852078047818
2016-07-01,13.981861958160978
2016-08-01,13.921880054392398
2016-09-01,13.887313703942995
2016-10-01,13.88672954790649
2016-11-01,13.866391549090201
2016-12-01,13.861368052594498
2017-01-01,13.896605344612105
2017-02-01,13.643892108801973
2017-03-01,13.591596648584112
2017-04-01,13.677624225227738
2017-05-01,13.73266432933728
2017-06-01,13.688212004108944
2017-07-01,13.648251732873543
2017-08-01,13.749491407921038
2017-09-01,13.739673092463592
2017-10-01,13.707256670471757
2017-11-01,13.865713822815625
2017-12-01,13.846124052681859
2018-01-01,13.910863797976267
2018-02-01,13.91721017421159
2018-03-01,13.931273106197752
2018-04-01,13.865495061714693
2018-05-01,13.809336068245944
2018-06-01,13.91998195678006
2018-07-01,13.838870736120624
2018-08-01,13.871059545515235
2018-09-01,13.785503868361912
2018-10-01,13.776268921569352
2018-11-01,13.78329226030409
2018-12-01,13.66291798839231
2019-01-01,13.763707058420131
2019-02-01,13.759003103898506
2019-03-01,13.866182122170837
2019-04-01,13.801439834571605
2019-05-01,13.884388827611843
2019-06-01,14.081128035219837
2019-07-01,14.108450591673863
2019-08-01,14.066685113485537
2019-09-01,14.11498159787091
2019-10-01,14.136247770088637
2019-11-01,14.129447882006897
2019-12-01,14.129807350485653
2020-01-01,14.693501287883908
2020-02-01,14.734297499912742
2020-03-01,14.756695492744877
2020-04-01,14.965718322443475
2020-05-01,14.941151974089157
2020-06-01,14.968188818128313
2020-07-01,14.871430481555866
2020-08-01,14.961178926253737
2020-09-01,15.135510588098073
2020-10-01,15.212285020257646
2020-11-01,15.176645736486144
2020-12-01,15.321920514606635
2021-01-01,15.489649607932412
2021-02-01,15.704329670139726
2021-03-01,15.78046296498897
2021-04-01,15.717299757198004
2021-05-01,15.790542527828855
2021-06-01,15.978779587580021
2021-07-01,15.975763357183554
2021-08-01,16.145385270610575
2021-09-01,16.356174849809044
2021-10-01,16.40253495595669
2021-11-01,16.49031960009431
2021-12-01,16.599396670203948
2022-01-01,16.54810412831199
2022-02-01,15.85160930110105
2022-03-01,15.324108569292624
2022-04-01,14.954407396447646
2022-05-01,14.858785955761194
2022-06-01,14.971513672731858
2022-07-01,14.903421914764413
2022-08-01,15.069709009136593
2022-09-01,14.964458329295695
2022-10-01,15.017184338053266
2022-11-01,15.162730603927766
2022-12-01,15.1568148259928
2023-01-01,15.112132771689135
2023-02-01,15.120612921884344
2023-03-01,15.203865929509671
2023-04-01,15.322562507932634
2023-05-01,15.38091752266792
2023-06-01,15.305364272707413
2023-07-01,16.26142908874058
2023-08-01,16.238370171692768
2023-09-01,16.424039392554846
2023-10-01,16.476504047171225
2023-11-01,16.438919561631923
2023-12-01,16.389909562736737
2024-01-01,16.532131765813425
2024-02-01,16.703827418565517
2024-03-01,16.698963052079005
2024-04-01,16.834286756434153
2024-05-01,16.947728974228273
2024-06-01,17.13949375460814
2024-07-01,17.112439623882825
2024-08-01,17.168034178115004
2024-09-01,17.12790887639448
2024-10-01,17.1897943891425
2024-11-01,17.26307168197096
2024-12-01,17.403945326987568
2025-01-01,17.38965311692856
2025-02-01,17.478577985901968
2025-03-01,17.55651133967424
2025-04-01,17.675243490619323
2025-05-01,17.90643008498154
2025-06-01,18.087967892441434
2025-07-01,18.079566947130253
2025-08-01,18.23503433041334
2025-09-01,18.416617830491873
2025-10-01,18.569318603884376
2025-11-01,18.588711555755957
2025-12-01,18.70051586154137
